Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Allergens
Mango Misty¢ç Slush - Small,230.0,0.0,0.0,0.0,0.0,0.0,35.0,57.0,0.0,55.0,0.0,
Misty¢ç Freeze - Large,590.0,140.0,15.0,10.0,1.0,50.0,210.0,102.0,0.0,90.0,12.0,M
Misty¢ç Freeze - Medium,450.0,110.0,12.0,8.0,0.5,40.0,160.0,77.0,0.0,68.0,10.0,M
Misty¢ç Freeze - Small,360.0,90.0,10.0,6.0,0.0,30.0,130.0,62.0,0.0,55.0,8.0,M
Misty¢ç Slush - Large,340.0,0.0,0.0,0.0,0.0,0.0,55.0,86.0,0.0,85.0,0.0,
Misty¢ç Slush - Medium,260.0,0.0,0.0,0.0,0.0,0.0,40.0,65.0,0.0,64.0,0.0,
Misty¢ç Slush - Small,200.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,0.0,50.0,0.0,
Add DQ Sprinkles,35.0,10.0,1.5,1.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,S
Caramel Sundae - Large,600.0,140.0,16.0,10.0,1.0,55.0,260.0,102.0,0.0,81.0,12.0,M
Caramel Sundae - Medium,430.0,100.0,11.0,7.0,0.5,35.0,190.0,73.0,0.0,58.0,9.0,M
Caramel Sundae - Small,300.0,70.0,8.0,5.0,0.0,25.0,130.0,50.0,0.0,40.0,6.0,M
Chocolate Sundae - Large,560.0,130.0,14.0,9.0,0.5,45.0,220.0,97.0,1.0,84.0,12.0,M
Chocolate Sundae - Medium,400.0,90.0,10.0,6.0,0.0,30.0,160.0,70.0,1.0,60.0,8.0,M
Chocolate Sundae - Small,270.0,60.0,7.0,4.5,0.0,25.0,110.0,48.0,1.0,41.0,6.0,M
Hot Fudge Sundae - Large,610.0,190.0,21.0,16.0,1.0,50.0,260.0,93.0,1.0,73.0,13.0,M\S
Hot Fudge Sundae - Medium,430.0,130.0,15.0,11.0,0.5,35.0,190.0,66.0,1.0,52.0,9.0,M\S
Hot Fudge Sundae - Small,300.0,90.0,10.0,8.0,0.0,25.0,125.0,46.0,0.0,36.0,6.0,M\S
Peanut Butter Sundae - Large,780.0,400.0,44.0,13.0,0.5,45.0,520.0,79.0,3.0,58.0,18.0,M\P\(T)
Peanut Butter Sundae - Medium,560.0,290.0,32.0,10.0,0.0,30.0,380.0,56.0,2.0,40.0,13.0,M\P\(T)
Peanut Butter Sundae - Small,380.0,190.0,22.0,7.0,0.0,25.0,260.0,39.0,1.0,28.0,9.0,M\P\(T)
Pineapple Sundae - Large,480.0,120.0,14.0,9.0,0.5,45.0,170.0,77.0,1.0,67.0,12.0,M
Pineapple Sundae - Medium,330.0,90.0,10.0,6.0,0.0,30.0,120.0,54.0,1.0,47.0,8.0,M
Pineapple Sundae - Small,230.0,60.0,7.0,4.5,0.0,25.0,85.0,38.0,0.0,33.0,6.0,M
Strawberry Sundae - Large,490.0,120.0,14.0,9.0,0.5,45.0,190.0,80.0,1.0,69.0,12.0,M
Strawberry Sundae - Medium,340.0,90.0,10.0,6.0,0.0,30.0,135.0,56.0,1.0,49.0,8.0,M
Strawberry Sundae - Small,240.0,60.0,7.0,4.5,0.0,25.0,95.0,39.0,0.0,34.0,6.0,M
Chocolate Cone - Kids',160.0,45.0,5.0,3.0,0.0,15.0,60.0,25.0,0.0,17.0,4.0,M\W
Chocolate Cone - Large,480.0,130.0,15.0,9.0,0.5,45.0,190.0,73.0,0.0,50.0,12.0,M\W
