id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn
PI306138,05,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,06,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,07,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,08,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,09,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306138,10,한화호텔앤드리조트,제주특별자치도 제주시 명림로 575-107,24시간 이용가능,Y,차지비,1600-4047,02,33.448504,126.638212
PI306143,01,컴퍼트리호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100,24시간 이용가능,Y,차지비,1600-4047,02,33.451457,126.449292
PI306143,02,컴퍼트리호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100,24시간 이용가능,Y,차지비,1600-4047,02,33.451457,126.449292
PI640049,01,제주시 사쿠라모텔,제주특별자치도 제주시 원노형6길 18,24시간 이용가능,Y,차지비,1600-4047,02,33.48462726,126.4826697
PI640049,02,제주시 사쿠라모텔,제주특별자치도 제주시 원노형6길 18,24시간 이용가능,Y,차지비,1600-4047,02,33.48462726,126.4826697
PI640051,01,제주시 노블레스호텔,제주특별자치도 제주시 연동8길 31,24시간 이용가능,Y,차지비,1600-4047,02,33.48302707,126.4907574
PI640052,01,서귀포시 렉스호스텔,제주특별자치도 서귀포시 중앙로42번길 42-1,24시간 이용가능,Y,차지비,1600-4047,02,33.24906761,126.5661815
PI640052,02,서귀포시 렉스호스텔,제주특별자치도 서귀포시 중앙로42번길 42-1,24시간 이용가능,Y,차지비,1600-4047,02,33.24906761,126.5661815
PI640053,01,서귀포시 스타민박,제주특별자치도 서귀포시 성산읍 성산중앙로64번길 5-1,24시간 이용가능,Y,차지비,1600-4047,02,33.46465755,126.9355725
PI640053,02,서귀포시 스타민박,제주특별자치도 서귀포시 성산읍 성산중앙로64번길 5-1,24시간 이용가능,Y,차지비,1600-4047,02,33.46465755,126.9355725
PI640054,01,서귀포시 푸른섬게스트하우스,제주특별자치도 서귀포시 표선면 민속해안로119번길 17,24시간 이용가능,Y,차지비,1600-4047,02,33.3079428,126.8124245
